"District","School","Sample Name","Facility Location ID","Sample Type","Location Description","Date Collected","Result (mg/L)","Unit (mg/L)","Result (PPB)","Unit (PPB)","Qualifier","Reporting Limit","Immediate Response","Permanent Solution","Confirmation Sampling"
"Appoquinimink","Cedar Lane Early Childhood Center","APPO-8-1-123-DW-F-18","18","F","Room 123 Water Fountain","04/04/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-199-DWC-F-01","1","F","Water Fountain w/Cooler Room 199","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-195-DWC-F-02","2","F","Water Fountain w/Cooler Room 195","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-190-DWC-F-03","3","F","Water Fountain w/Cooler Room 190","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-189-DW-F-04","4","F","Room 189 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-188-DW-F-05","5","F","Room 188 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-186-DW-F-06","6","F","Room 186 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-187-DW-F-07","7","F","Room 187 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-181-DW-F-08","8","F","Room 181 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-185-DW-F-09","9","F","Room 185 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-183-DW-F-10","10","F","Room 183 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-182-DW-F-11","11","F","Room 182 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-167-DW-F-12","12","F","Room 167 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-168-DW-F-13","13","F","Room 168 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-166-DWC-F-14","14","F","Water Fountain w/Cooler Room 166","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-165-DW-F-15","15","F","Room 165 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-164-DW-F-17","17","F","Room 164 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-165-DW-F-18","18","F","Room 165 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-158-DW-F-19","19","F","Room 158 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-159-DW-F-20","20","F","Room 159 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-157-DW-F-21","21","F","Room 157 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-153-DW-F-23","23","F","Room 153 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-152-DW-F-24","24","F","Room 152 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-151-DW-F-25","25","F","Room 151 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-TL-DWC-F-26","26","F","Water Fountain w/Cooler by Teacher's Lounge","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-NO-CF-F-27","27","F","Nurse's Office Sink Faucet","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-CAF-DWC-F-28","28","F","Water Fountain w/Cooler Cafeteria","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-CAF-WBF-F-29","29","F","Water Bottle Filler Cafeteria","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-KIT-KF-F-30","30","F","Kitchen Faucet","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-139-DW-F-32","32","F","Room 139 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-139-DW-F-33","33","F","Room 139 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-134-DW-F-34","34","F","Room 134 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-137-DW-F-35","35","F","Room 137 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-180-DW-F-36","36","F","Room 180 Water Fountain","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Cedar Lane Elementary School","APPO-9-1-GYM-DWC-F-37","37","F","Water Fountain w/Cooler Gym","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-NO-CF-F-01","1","F","Nurse's Office Sink Faucet","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-103-DWC-F-02","2","F","Water Fountain w/Cooler Room 103","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-103-WBF-F-03","3","F","Water Bottle Filler Room 103","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-103-DWC-F-04","4","F","Water Fountain w/Cooler Room 103","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-115-DWC-F-05","5","F","Water Fountain w/Cooler Room 115","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-115-WBF-F-06","6","F","Water Bottle Filler Room 115","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-115-DWC-F-07","7","F","Water Fountain w/Cooler Room 115","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-125-DWC-F-08","8","F","Water Fountain w/Cooler Room 125","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-125-WBF-F-09","9","F","Water Bottle Filler Room 125","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-139-DWC-F-11","11","F","Water Fountain w/Cooler Room 139","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-139-WBF-F-12","12","F","Water Bottle Filler Room 139","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-139-DWC-F-13","13","F","Water Fountain w/Cooler Room 139","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-2-215-DWC-F-14","14","F","Second Floor Water Fountain w/Cooler Room 215","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-2-215-WBF-F-15","15","F","Second Floor Water Bottle Filler Room 215","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-2-215-DWC-F-16","16","F","Second Floor Water Fountain w/Cooler Room 215","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-2-203-DWC-F-17","17","F","Second Floor Water Fountain w/Cooler Room 203","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-2-203-WBF-F-18","18","F","Second Floor Water Bottle Filler Room 203","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-2-203-DWC-F-19","19","F","Second Floor Water Fountain w/Cooler Room 203","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-2-237-DWC-F-20","20","F","Second Floor Water Fountain w/Cooler Room 237","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-2-237-WBF-F-21","21","F","Second Floor Water Bottle Filler Room 237","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-2-237-DWC-F-22","22","F","Second Floor Water Fountain w/Cooler Room 237","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-2-225-DWC-F-23","23","F","Second Floor Water Fountain w/Cooler Room 225","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-2-225-WBF-F-24","24","F","Second Floor Water Bottle Filler Room 225","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-2-225-DWC-F-25","25","F","Second Floor Water Fountain w/Cooler Room 225","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-CAFE-DWC-F-26","26","F","Water Fountain w/Cooler Cafeteria","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-CAFE-WBF-F-27","27","F","Water Bottle Filler Cafeteria","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-CAFE-DWC-F-28","28","F","Water Fountain w/Cooler Cafeteria","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-CAFE-DWC-F-29","29","F","Water Fountain w/Cooler Cafeteria","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-CAFE-WBF-F-30","30","F","Water Bottle Filler Cafeteria","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-CAFE-DWC-F-31","31","F","Water Fountain w/Cooler Cafeteria","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-KIT-KF-F-33","33","F","Kitchen Faucet","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-KIT-KF-F-34","34","F","Kitchen Faucet","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-BR-DWC-F-35","35","F","Water Fountain w/Cooler by Bathroom","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-BR-WBF-F-36","36","F","Water Bottle Filler by Bathroom","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-BR-DWC-F-37","37","F","Water Fountain w/Cooler by Bathroom","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-BR-DWC-F-38","38","F","Water Fountain w/Cooler by Bathroom","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-BR-WBF-F-39","39","F","Water Bottle Filler by Bathroom","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-159-DWC-F-41","41","F","Water Fountain w/Cooler Room 159","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-159-WBF-F-42","42","F","Water Bottle Filler Room 159","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-159-DWC-F-43","43","F","Water Fountain w/Cooler Room 159","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-159-DWC-F-44","44","F","Water Fountain w/Cooler Room 159","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-159-WBF-F-45","45","F","Water Bottle Filler Room 159","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Everett Meredith Middle School","APPO-10-1-159-DWC-F-46","46","F","Water Fountain w/Cooler Room 159","04/05/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-B110-WBF-F-01","1","F","Water Bottle Filler Room B110","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-B110-DWC-F-02","2","F","Water Fountain w/Cooler Room B110","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Odessa High School","APPO-14-1-KIT-KF-F-35","35","F","Kitchen Faucet","04/20/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-B110-DWC-F-03","3","F","Water Fountain w/Cooler Room B110","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-NO-CF-F-04","4","F","Nurse's Office Sink Faucet","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-A108-WBF-F-05","5","F","Water Bottle Filler Room A108","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-A108-DWC-F-06","6","F","Water Fountain w/Cooler Room A108","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-A108-DWC-F-07","7","F","Water Fountain w/Cooler Room A108","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-A132-WBF-F-08","8","F","Water Bottle Filler Room A132","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-A132-DWC-F-09","9","F","Water Fountain w/Cooler Room A132","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-A132-DWC-F-10","10","F","Water Fountain w/Cooler Room A132","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-2-A235-WBF-F-11","11","F","Second Floor Water Bottle Filler Room A235","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-2-A235-DWC-F-12","12","F","Second Floor Water Fountain w/Cooler Room A235","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-2-A235-DWC-F-13","13","F","Second Floor Water Fountain w/Cooler Room A235","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-2-A208-WBF-F-14","14","F","Second Floor Water Bottle Filler Room A208","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-2-A208-DWC-F-15","15","F","Second Floor Water Fountain w/Cooler Room A208","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-2-A208-DWC-F-16","16","F","Second Floor Water Fountain w/Cooler Room A208","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-2-B204-WBF-F-17","17","F","Second Floor Water Bottle Filler Room B204","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-2-B204-DWC-F-18","18","F","Second Floor Water Fountain w/Cooler Room B204","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-2-B204-DWC-F-19","19","F","Second Floor Water Fountain w/Cooler Room B204","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-B101-CF-F-20","20","F","Room B101 Sink Faucet","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-B123-WBF-F-21","21","F","Water Bottle Filler by Room B123","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-B123-DWC-F-22","22","F","Water Fountain w/Cooler by Room B123","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-B123-DWC-F-23","23","F","Water Fountain w/Cooler by Room B123","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-CAFE-WBF-F-24","24","F","Water Bottle Filler Cafeteria","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-CAFE-DWC-F-25","25","F","Water Bottle Filler Cafeteria","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-CAFE-DWC-F-26","26","F","Water Bottle Filler Cafeteria","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-GR-WBF-F-27","27","F","Water Bottle Filler by Girl's Restroom","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-GR-DWC-F-28","28","F","Water Fountain w/Cooler by Girls Restroom","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-GR-DWC-F-29","29","F","Water Fountain w/Cooler by Girls Restroom","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-C109-WBF-F-30","30","F","Water Bottle Filler by Room C109","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-C109-DWC-F-31","31","F","Water Fountain w/Cooler by Room C109","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-C109-DWC-F-32","32","F","Water Fountain w/Cooler by Room C109","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-C113-WBF-F-33","33","F","Water Bottle Filler by Room C113","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-C113-DWC-F-34","34","F","Water Fountain w/Cooler by Room C113","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-C113-DWC-F-35","35","F","Water Fountain w/Cooler by Room C113","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-KIT-KP-F-36","36","F","Kitchen Faucet","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Lorewood Grove Elementary School","APPO-11-1-KIT-KF-F-37","37","F","Kitchen Faucet","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Louis L. Redding Middle School","APPO-12-1-111-DWC-F-02","2","F","Water Fountain w/Cooler by Room 111","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Louis L. Redding Middle School","APPO-12-2-WR-DWC-F-03","3","F","Water Fountain w/Cooler by Women's Restroom","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Louis L. Redding Middle School","APPO-12-1-KIT-KF-F-05","5","F","Kitchen Faucet","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Louis L. Redding Middle School","APPO-12-1-KIT-KF-F-06","6","F","Kitchen Faucet","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Louis L. Redding Middle School","APPO-12-1-CAF-DWC-F-08","8","F","Water Fountain w/Cooler Cafeteria","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Louis L. Redding Middle School","APPO-12-1-CAF-DWC-F-09","9","F","Water Fountain w/Cooler Cafeteria","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Louis L. Redding Middle School","APPO-12-1-WR-DWC-F-10","10","F","Water Fountain w/Cooler by Women's Restroom","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Louis L. Redding Middle School","APPO-12-1-WR-DWC-F-11","11","F","Water Fountain w/Cooler by Women's Restroom","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Louis L. Redding Middle School","APPO-12-1-NO-CF-F-12","12","F","Nurse's Office Sink Faucet","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Louis L. Redding Middle School","APPO-12-1-GYM-DWC-F-13","13","F","Water Fountain w/Cooler Gym","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Louis L. Redding Middle School","APPO-12-1-GYM-DWC-F-14","14","F","Water Fountain w/Cooler Gym","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Louis L. Redding Middle School","APPO-12-1-147-DWC-F-15","15","F","Water Fountain w/Cooler by Room 147","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Louis L. Redding Middle School","APPO-12-1-152-DWC-F-16","16","F","Water Fountain w/Cooler by Room 152","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Louis L. Redding Middle School","APPO-12-302-DWC-F-17","17","F","Water Fountain w/Cooler by Room 302","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Louis L. Redding Middle School","APPO-12-302-DWC-F-18","18","F","Water Fountain w/Cooler by Room 302","04/06/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Middletown High School","APPO-13-1-LIB-DWC-F-03","3","F","Water Fountain w/Cooler by Library","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Middletown High School","APPO-13-1-TL-CF-F-04","4","F","Teacher's Lounge Sink Faucet","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Middletown High School","APPO-13-1-LIB-WBF-F-05","5","F","Water Bottle Filler by Library","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Middletown High School","APPO-13-2-GR-DWC-F-06","6","F","Second Floor Water Fountain w/Cooler by Girl's Restroom","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Middletown High School","APPO-13-2-MR-DWC-F-07","7","F","Second Floor Water Fountain w/Cooler by Men's Restroom","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Middletown High School","APPO-13-2-MR-DWC-F-08","8","F","Second Floor Water Fountain w/Cooler by Men's Restroom","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Middletown High School","APPO-13-2-GR-DWC-F-09","9","F","Second Floor Water Fountain w/Cooler by Girl's Restroom","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Middletown High School","APPO-13-2-TL-CF-F-10","10","F","Second Floor Teacher's Lounge Sink Faucet","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
"Appoquinimink","Middletown High School","APPO-13-1-GR-DWC-F-11","11","F","First Floor Water Fountain w/Cooler by Girl's Restroom","04/21/2023","0.002","mg/L","2","ppb","U","0.002","NA","NA","NA"
